	RForest(mtry2)		RForest(mtry3)		NBforest(boot)		Dtree		Forest (-all)		Forest(-first)		Forest(boot)	
	ERR	RERR	ERR	RERR	ERR	RERR	ERR	RERR	ERR	RERR	ERR	RERR	ERR	RERR
dlbcl	0.470	0.476	0.483	0.490	0.456	0.463	0.557	0.557	0.443	0.451	0.477	0.486	0.436	0.443
duke	0.388	0.388	0.347	0.348	0.429	0.427	0.265	0.266	0.347	0.348	0.347	0.348	0.184	0.183
duke.er	0.122	0.123	0.143	0.143	0.122	0.123	0.102	0.103	0.143	0.143	0.143	0.144	0.184	0.184
leuk	0.032	0.069	0.028	0.061	0.032	0.072	0.125	0.169	0.040	0.097	0.036	0.058	0.057	0.081
lung	0.395	0.595	0.377	0.579	0.351	0.560	0.456	0.605	0.351	0.557	0.360	0.556	0.395	0.577
prostate	0.350	0.356	0.392	0.397	0.392	0.397	0.367	0.367	0.367	0.368	0.333	0.339	0.325	0.327
rosetta	0.372	0.393	0.359	0.378	0.410	0.431	0.359	0.365	0.359	0.372	0.346	0.360	0.333	0.349
rosetta.er	0.192	0.244	0.180	0.234	0.205	0.262	0.308	0.303	0.180	0.234	0.180	0.219	0.180	0.234
rosetta.nejm	0.251	0.408	0.251	0.416										
AllAmlMLL	0.028	0.033	0.028	0.033										
