Model	Score	dlbcl	duke	duke.er	leuk	lung	prostate	rosetta	rosetta.er	rosetta.nejm	AllAmlMLL
NB(CV2)	ERR	0.497	0.306	0.143	0.024	0.404	0.408	0.372	0.180		
	RERR	0.497	0.305	0.144	0.033	0.489	0.407	0.376	0.211		
NB(SW)	ERR	0.456	0.449	0.327	NA	0.404	0.358	0.410	0.231		
	RERR	0.460	0.447	0.327	NA	0.476	0.362	0.431	0.266		
NBforest(boot)	ERR	0.456	0.429	0.122	0.032	0.351	0.392	0.410	0.205		
	RERR	0.463	0.427	0.123	0.072	0.560	0.397	0.431	0.262		
Dtree	ERR	0.557	0.265	0.102	0.125	0.456	0.367	0.359	0.308		
	RERR	0.557	0.266	0.103	0.169	0.605	0.367	0.365	0.303		
Forest (-all)	ERR	0.443	0.347	0.143	0.040	0.351	0.367	0.359	0.180		
	RERR	0.451	0.348	0.143	0.097	0.557	0.368	0.372	0.234		
Forest(-first)	ERR	0.477	0.347	0.143	0.036	0.360	0.333	0.346	0.180		
	RERR	0.486	0.348	0.144	0.058	0.556	0.339	0.360	0.219		
Forest(boot)	ERR	0.436	0.184	0.184	0.057	0.395	0.325	0.333	0.180		
	RERR	0.443	0.183	0.184	0.081	0.577	0.327	0.349	0.234		
RForest(mtry2)	ERR	0.470	0.388	0.122	0.032	0.395	0.350	0.372	0.192	0.251	0.028
	RERR	0.476	0.388	0.123	0.069	0.595	0.356	0.393	0.244	0.408	0.033
RForest(mtry3)	ERR	0.483	0.347	0.143	0.028	0.377	0.392	0.359	0.180	0.251	0.028
	RERR	0.490	0.348	0.143	0.061	0.579	0.397	0.378	0.234	0.416	0.033
