	NB(CV2)				NB(SW)				NBforest(boot)				Dtree				Forest (-all)				Forest(-first)				Forest(boot)				RForest(mtry2)		RForest(mtry3)	
	ERR	RERR	ROC	NERR	ERR	RERR	ROC	NERR	ERR	RERR	ROC	NERR	ERR	RERR	ROC	NERR	ERR	RERR	ROC	NERR	ERR	RERR	ROC	NERR	ERR	RERR	ROC	NERR	ERR	RERR	ERR	RERR
dlbcl	0.4966	0.4974	0.525	74	0.4564	0.4599	0.5612	68	0.456	0.463	0.543	68	0.557	0.557	0.325	83	0.443	0.451	0.587	66	0.477	0.486	0.575	71	0.436	0.443	0.606	65	0.470	0.476	0.483	0.490
duke	0.3061	0.305	0.6817	15	0.4490	0.4467	0.5842	22	0.429	0.427	0.638	21	0.265	0.266	0.807	13	0.347	0.348	0.743	17	0.347	0.348	0.683	17	0.184	0.183	0.872	9	0.388	0.388	0.347	0.348
duke.er	0.1429	0.1442	0.8667	7	0.3265	0.3267	0.6458	16	0.122	0.123	0.930	6	0.102	0.103	0.800	5	0.143	0.143	0.936	7	0.143	0.144	0.947	7	0.184	0.184	0.901	9	0.122	0.123	0.143	0.143
leuk	0.0242	0.0326	NA	6	NA	NA	NA	NA	0.032	0.072	NA	8	0.125	0.169	NA	31	0.040	0.097	NA	10	0.036	0.058	NA	9	0.057	0.081	NA	14	0.032	0.069	0.028	0.061
lung	0.4035	0.4891	NA	46	0.4035	0.4763	NA	46	0.351	0.560	NA	40	0.456	0.605	NA	52	0.351	0.557	NA	40	0.360	0.556	NA	41	0.395	0.577	NA	45	0.395	0.595	0.377	0.579
prostate	0.4083	0.4074	0.6147	49	0.3583	0.3616	0.6956	43	0.392	0.397	0.650	47	0.367	0.367	0.761	44	0.367	0.368	0.702	44	0.333	0.339	0.730	40	0.325	0.327	0.738	39	0.350	0.356	0.392	0.397
rosetta	0.3718	0.3763	0.6524	29	0.4103	0.4305	0.6377	32	0.410	0.431	0.678	32	0.359	0.365	0.751	28	0.359	0.372	0.729	28	0.346	0.360	0.745	27	0.333	0.349	0.733	26	0.372	0.393	0.359	0.378
rosetta.er	0.1795	0.2107	0.8379	14	0.2308	0.2664	0.7671	18	0.205	0.262	0.800	16	0.308	0.303	0.673	24	0.180	0.234	0.817	14	0.180	0.219	0.862	14	0.180	0.234	0.832	14	0.192	0.244	0.180	0.234
rosetta.nejm																													0.251	0.408	0.251	0.416
AllAmlMLL																													0.028	0.033	0.028	0.033
